,title,link,views,date,thumbnail
106,Data Analysis Masterclass | Geek-A-Thon | GeeksforGeeks,/watch?v=-7Emxpn8DXc,860 views,7 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
107,GeeksforGeeks Offline Classroom Program | Now Open In Noida & Gurgaon,/watch?v=2bPiFkt3Nmg,42K views,7 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
108,Kickstart your DevOps Career | GeeksforGeeks,/watch?v=8gwwlpBwr_s,134K views,7 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
109,First Ever KBC at our Offline Classes | GeeksforGeeks,/watch?v=chYg2EAKW2A,725 views,7 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
110,Mega Job-a-thon for Working Professionals | 21st July | GeeksforGeeks,/watch?v=CyOh-WDfUvs,1.2K views,8 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
111,Explore GeeksforGeeks Hiring Solutions | For Top Tech Companies | Innovative Hiring Solutions,/watch?v=GDeoPHRqb5w,643 views,8 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
112,Geek-O-Lympics 2023 | GeeksforGeeks,/watch?v=hLqJiIu6LzY,3.4K views,8 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
113,Web 3.0 Explained | GeeksforGeeks,/watch?v=zEPRJMk3p90,2K views,8 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
114,Geek-O-Lympics 2023 | 1st - 31st July | GeeksforGeeks,/watch?v=GSqepfZLKU0,1.2K views,8 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
115,What Is Web Scraping & What It Is Used For | How To Use Web Scraping | GeeksforGeeks,/watch?v=MK15a0ipg-E,1.2K views,8 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
116,Mega Job-A-Thon | Hire Top Talent for Your Company | GeeksforGeeks,/watch?v=cWPqVVobUuA,1.3K views,8 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
117,DSA To Development: A Complete Coding Guide | Complete Coding Program By GeeksforGeeks,/watch?v=phr8lXH2Ee0,174K views,8 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
118,WHAT IS QUEUE? | Queue Data Structures | DSA Course | GeeksforGeeks,/watch?v=ypJwoz_SXTo,2.9K views,9 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
119,QUEUE PRACTICE PROBLEMS | Queue Interview Questions | DSA Problems | GeeksforGeeks,/watch?v=KG4dbF5xRig,1.9K views,9 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
